id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
11,enf854f6d986194b25a467dae9b922f46e,en,28、INT. BANQUET HALL - DAY; 38、EXT. BIFROST LANDING SITE (JOTUNHEIM) - DAY,What event directly prompts Loki to reveal the Frost Giants during the confrontation at the Bifrost landing site?,Thor confronts Loki about the cancelled celebration,"In the banquet hall, Thor confronts Loki amid the wreckage of the cancelled celebration meant to honor his ascension. Tensions rise as Thor expresses his frustration over the lost triumph, and Loki admits he shares Thor’s concern about the Frost Giants and Laufey potentially threatening Asgard. When Thor declares his intent to go to Jotunheim to confront the threat, Loki does not stop him, setting in motion the chain of events that leads to their arrival at the Bifrost landing site. There, at Thor’s insistence, Loki dispels the mists to reveal the full force of the Frost Giants waiting in formation—an exposure that escalates the situation into immediate danger.",Causal-Motivational Reasoning
12,enf854f6d986194b25a467dae9b922f46e,en,3、INT. SUV - NIGHT; 47、EXT./INT. SMITH MOTORS - LAB - MORNING,"By the time Darcy identifies a figure in the Bifrost image, what has she already witnessed in the desert sky?",Glowing clouds forming,"Before analyzing the Bifrost image, Darcy observes unusual atmospheric phenomena in the desert sky, specifically glowing clouds beginning to form. This visual anomaly sets the stage for the later discovery of a structured figure within the Bifrost data, establishing a causal and chronological link between the natural disturbance and the technological revelation. [3、INT. SUV - NIGHT]",Temporal Reasoning
13,enf854f6d986194b25a467dae9b922f46e,en,3、INT. SUV - NIGHT; 47、EXT./INT. SMITH MOTORS - LAB - MORNING,"By the time Darcy identifies a figure in the Bifrost image, what key action has Jane already completed?",Jane consults handwritten notebook with geomagnetic calculations,"Before Darcy's discovery in the Bifrost image, Jane is seen reviewing her handwritten notes containing geomagnetic calculations during a nighttime drive, establishing her prior investigation into atmospheric anomalies. This moment lays the groundwork for the team's evolving understanding of the phenomenon Darcy later visualizes.",Temporal Reasoning
14,enf854f6d986194b25a467dae9b922f46e,en,2、EXT. SUV - NIGHT; 159、EXT. SMITH MOTORS - DAY,How does the working relationship between Erik Selvig and Jane Foster remain consistent from their initial collaboration through later events?,they continue as trusted scientific collaborators under pressure,"From the early scenes of their joint research in the SUV to the later confrontation at Smith Motors, Erik Selvig and Jane Foster maintain a consistent dynamic of mutual reliance and professional trust. They collaborate closely on scientific observations, respond jointly to anomalies, and demonstrate concern for each other’s safety, with Selvig protecting Jane in the desert and Jane refusing to abandon him when injured. Their interactions across multiple settings show a sustained pattern of cooperative problem-solving and loyalty, rooted in their shared mission and established partnership.",Role-Relation Continuity
15,enf854f6d986194b25a467dae9b922f46e,en,28、INT. BANQUET HALL - DAY; 160、EXT. DOWN THE STREET,"What consistent role does Hogun hold in relation to Thor across their shared actions, from the banquet hall to the confrontation on Jotunheim?",trusted comrade,"Thor references past battles led with Hogun in the banquet hall [28、INT. BANQUET HALL - DAY], and Hogun immediately supports Thor’s mission to Jotunheim. They fight side by side during the plaza battle [37、EXT. CENTRAL PLAZA - DAY], and Thor relies on Hogun’s coordination in high-stakes moments later in the street confrontation [160、EXT. DOWN THE STREET], confirming an enduring role as a trusted comrade throughout.",Role-Relation Continuity
16,enf854f6d986194b25a467dae9b922f46e,en,45、INT. HOSPITAL ER - NIGHT; 112、INT. HAMMER CONTAINMENT CUBE,How does the relationship between Thor and the Frost Giant evolve from their initial confrontation through later encounters?,Thor consistently treats the Frost Giant as an enemy,"From the hospital ER scene onward, Thor is in active conflict with the Frost Giant, who is aligned with the security forces attempting to restrain him. This adversarial dynamic continues through subsequent scenes, including moments in the tunnel and the containment cube, where Thor resists capture and engages in physical confrontations, maintaining a persistent hostile stance toward the Frost Giant without any shift toward cooperation or neutrality.",Role-Relation Continuity
17,enf854f6d986194b25a467dae9b922f46e,en,2、EXT. SUV - NIGHT; 11、INT. SUV; 7、INT. SUV,What pivotal event sets in motion the characters' reactions to the approaching storm and their subsequent attempts to gather data and regroup?,Jane and Selvig Wait for the Anomaly,"As the storm approaches, Jane and Selvig remain at the observation site, anticipating the anomaly they believe will provide critical scientific data. Their decision to wait creates a cascade of consequences: the group's vehicle is damaged during the resulting chaos, prompting a retreat; Jane later insists on taking magnetic readings amid worsening conditions; and tensions flare between Selvig and Darcy, ultimately leading to a temporary rift before Jane rejoins the team. This moment of deliberate inaction becomes the catalyst for the unfolding crisis. [2、EXT. SUV - NIGHT]",Narrative Progression
18,enf854f6d986194b25a467dae9b922f46e,en,21、INT. PALACE ANTEROOM - DAY; 26、INT. THRONE ROOM - DAY; 26、INT. THRONE ROOM - DAY,What pivotal moment sets in motion Thor's actions leading to his confrontation with the Frost Giants and subsequent conflict with Odin?,Frigga Reassures Thor Before the Ceremony,"In the quiet moments before the coronation, Frigga offers Thor counsel and emotional grounding, reinforcing his sense of duty while subtly challenging his impulsiveness. This interaction calibrates his mindset, directly influencing his later decisions when faced with the desecration of the vault and the breach by the Frost Giants. The scene establishes a psychological threshold that shapes Thor's trajectory through the ensuing conflicts. [21、INT. PALACE ANTEROOM - DAY]",Narrative Progression
19,enf854f6d986194b25a467dae9b922f46e,en,22、INT. THRONE ROOM - DAY; 22、INT. THRONE ROOM - DAY; 39、INT. HEIMDALL'S OBSERVATORY - DAY,"What event sets in motion Odin's actions of noticing Thor's absence, ordering Fandral's evacuation, and proclaiming Thor's inheritance?",Odin and Frigga Take the Throne,"Following the consolidation of power in Asgard, Odin and Frigga assume their positions on the throne, establishing the authority and situational awareness that enable Odin's subsequent decisions, including recognizing Thor's absence, directing Fandral to the Healing Room, and formally declaring Thor's future inheritance. This moment marks a shift from ceremonial transition to active governance. [22、INT. THRONE ROOM - DAY]",Narrative Progression
20,enf854f6d986194b25a467dae9b922f46e,en,27、INT. VAULT - DAY; 27、INT. VAULT - DAY; 39、INT. HEIMDALL'S OBSERVATORY - DAY,What pivotal event shifts the narrative toward the confrontation between Thor and Odin following the breach of the vault?,"Thor Demands War, Odin Refuses","In the aftermath of the vault breach, Thor's insistence on launching a war is met with Odin's firm refusal, marking a critical rupture in their relationship and setting in motion the subsequent confrontations in which Odin rebukes Thor for his recklessness and ultimately disavows his claim to the throne. This moment crystallizes the central conflict between paternal authority and filial ambition. [27、INT. VAULT - DAY]",Narrative Progression
